game_id,color,team_id,team_region,player_id,player_tag,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,boost_bpm,boost_bcpm,boost_avg_amount,boost_amount_collected,boost_amount_stolen,boost_amount_collected_big,boost_amount_stolen_big,boost_amount_collected_small,boost_amount_stolen_small,boost_count_collected_big,boost_count_stolen_big,boost_count_collected_small,boost_count_stolen_small,boost_amount_overfill,boost_amount_overfill_stolen,boost_amount_used_while_supersonic,boost_time_zero_boost,boost_percent_zero_boost,boost_time_full_boost,boost_percent_full_boost,boost_time_boost_0_25,boost_time_boost_25_50,boost_time_boost_50_75,boost_time_boost_75_100,boost_percent_boost_0_25,boost_percent_boost_25_50,boost_percent_boost_50_75,boost_percent_boost_75_100,movement_avg_speed,movement_total_distance,movement_time_supersonic_speed,movement_time_boost_speed,movement_time_slow_speed,movement_time_ground,movement_time_low_air,movement_time_high_air,movement_time_powerslide,movement_count_powerslide,movement_avg_powerslide_duration,movement_avg_speed_percentage,movement_percent_slow_speed,movement_percent_boost_speed,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_avg_distance_to_ball,positioning_avg_distance_to_ball_possession,positioning_avg_distance_to_ball_no_possession,positioning_avg_distance_to_mates,positioning_time_defensive_third,positioning_time_neutral_third,positioning_time_offensive_third,positioning_time_defensive_half,positioning_time_offensive_half,positioning_time_behind_ball,positioning_time_in_front_ball,positioning_time_most_back,positioning_time_most_forward,positioning_goals_against_while_last_defender,positioning_time_closest_to_ball,positioning_time_farthest_from_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,positioning_percent_neutral_third,positioning_percent_defensive_half,positioning_percent_offensive_half,positioning_percent_behind_ball,positioning_percent_in_front_ball,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,demo_inflicted,demo_taken,advanced_goal_participation,advanced_rating,advanced_mvp,winner,platform,platform_id,car_id,car_name,steering_sensitivity,camera_fov,camera_height,camera_pitch,camera_distance,camera_stiffness,camera_swivel_speed,camera_transition_speed
62ec0f8ec437fde7e02daa32,blue,6020c1cdf1e4807cc7025d03,North America,5f3d8fdd95f40596eae241b8,BeastMode,8,2,0,1,486,25.0,484.0,483.18945,54.6,2733.0,1401.0,1980.0,1029.0,753.0,372.0,27.0,12.0,69.0,33.0,747.0,176.0,385.0,36.28,10.690397,45.78,13.489701,120.62,69.77,56.43,105.17,34.26802,19.821585,16.031706,29.87869,1654.0,553347.0,75.46,153.18,128.14,210.28,109.54,36.97,7.5,72.0,0.1,71.91304,35.91569,42.934017,21.15029,58.936626,30.701532,10.361837,2468.0,2200.0,2824.0,3811.0,111.05,97.94,147.8,153.0,203.79,263.57,93.22,73.4,126.1,0.0,130.1,84.9,31.12475,41.424927,27.450321,42.88237,57.117638,73.87258,26.127413,21.628311,37.157085,38.335743,25.016943,2.0,0.0,75.0,1.638304974800924,TRUE,TRUE,steam,76561198284393407,23,Octane,1.3,109.0,90.0,-4.0,270.0,0.45,7.0,1.0
62ec0f8ec437fde7e02daa32,blue,6020c1cdf1e4807cc7025d03,North America,5f3d8fdd95f40596eae240b2,Comm,5,1,0,2,430,20.0,467.0,481.06787,48.64,2721.0,897.0,2113.0,661.0,608.0,236.0,26.0,7.0,53.0,20.0,332.0,38.0,647.0,55.48,16.347939,29.24,8.615965,131.47,80.47,50.53,84.85,37.8527,23.168835,14.548543,24.42992,1530.0,507599.0,45.07,147.41,161.17,213.95,118.52,21.18,8.87,88.0,0.1,66.521736,45.573303,41.682453,12.744238,60.49767,33.513363,5.988972,3216.0,3025.0,3475.0,4003.0,110.87,121.57,121.22,164.59,189.06,237.81,115.84,96.4,143.2,0.0,91.5,130.8,31.349318,34.275856,34.374825,46.540367,53.459637,67.24445,32.75555,28.405575,42.195835,26.961723,38.542004,4.0,1.0,75.0,1.485879096824858,FALSE,TRUE,steam,76561198349297431,23,Octane,1.3,110.0,100.0,-3.0,270.0,0.45,3.2,1.0
62ec0f8ec437fde7e02daa32,blue,6020c1cdf1e4807cc7025d03,North America,5f3d8fdd95f40596eae23d72,Torment,4,1,1,0,363,25.0,437.0,448.8906,54.15,2539.0,418.0,1820.0,191.0,719.0,227.0,24.0,2.0,67.0,22.0,621.0,34.0,327.0,24.49,7.216313,41.28,12.163715,110.87,59.18,73.67,97.18,32.522736,17.35993,21.610443,28.506893,1589.0,525878.0,57.69,144.03,151.68,208.63,128.58,16.18,6.91,76.0,0.09,69.08696,42.9202,40.75552,16.324278,59.036755,36.384727,4.5785108,2979.0,3009.0,2955.0,3906.0,138.2,154.52,60.67,221.64,131.75,305.31,48.08,171.4,65.7,1.0,113.5,125.5,39.106934,17.168001,43.72506,62.71824,37.281754,86.39463,13.605365,50.50535,19.3594,33.444324,36.980286,0.0,1.0,25.0,0.8625097510515098,FALSE,TRUE,steam,76561198097285289,23,Octane,1.4,110.0,100.0,-5.0,270.0,0.4,5.5,1.2
62ec0f8ec437fde7e02daa32,orange,60bb483e6d9c1362119ca7cd,Sub-Saharan Africa,60bb4abf6d9c1362119ca7d3,Darth.,1,0,5,1,519,0.0,339.0,336.44696,37.88,1903.0,276.0,1112.0,173.0,791.0,103.0,13.0,2.0,61.0,9.0,187.0,26.0,486.0,66.62,19.630493,19.88,5.857913,181.92,77.26,45.82,39.25,52.845314,22.442991,13.310095,11.401598,1513.0,504211.0,45.07,139.39,172.2,196.44,133.32,26.9,7.81,75.0,0.1,65.78261,48.281277,39.08204,12.636684,55.077663,37.38014,7.5421968,3075.0,3219.0,2986.0,3452.0,230.8,96.18,29.67,290.95,65.71,247.3,109.36,137.3,114.7,1.0,96.1,137.4,64.7133,8.31908,26.967615,81.576294,18.423708,69.337746,30.662254,40.457317,33.79792,28.317177,40.486782,1.0,0.0,100.0,1.212560750517137,FALSE,FALSE,steam,76561198401040166,4284,Fennec,1.7,109.0,90.0,-5.0,260.0,0.4,5.0,1.3
62ec0f8ec437fde7e02daa32,orange,60bb483e6d9c1362119ca7cd,Sub-Saharan Africa,60bb4abf6d9c1362119ca7d4,Snowyy,0,0,3,0,274,0.0,385.0,362.2595,37.61,2049.0,137.0,1204.0,0.0,845.0,137.0,13.0,0.0,77.0,12.0,111.0,0.0,484.0,35.26,10.389839,13.58,4.001532,173.19,89.71,32.79,39.7,51.63839,26.747963,9.776677,11.836966,1589.0,517650.0,57.66,145.0,145.05,209.75,130.27,7.69,9.39,79.0,0.12,69.08696,41.715797,41.70142,16.582785,60.323254,37.465126,2.211613,2560.0,2699.0,2454.0,3236.0,229.6,81.93,36.18,275.6,72.12,249.99,97.72,101.8,102.9,1.0,117.3,99.0,66.03204,10.405223,23.56274,79.25917,20.740828,71.89612,28.103878,29.99676,30.320889,34.564045,29.171701,1.0,3.0,0.0,0.3748215907627304,FALSE,FALSE,steam,76561198409065326,4284,Fennec,1.8,110.0,90.0,-5.0,270.0,0.45,5.5,1.2
62ec0f8ec437fde7e02daa32,orange,60bb483e6d9c1362119ca7cd,Sub-Saharan Africa,61731962f8090ec745288a9a,SkillSteal,2,1,0,0,266,50.0,372.0,370.569,45.81,2096.0,296.0,1465.0,187.0,631.0,109.0,16.0,2.0,54.0,9.0,135.0,12.0,240.0,47.57,14.01715,20.11,5.925686,132.77,87.68,54.28,68.73,38.65661,25.528444,15.803877,20.011065,1395.0,453125.0,30.38,121.24,195.97,186.36,141.51,19.72,12.01,107.0,0.11,60.652172,56.379642,34.880177,8.740183,53.61489,40.711754,5.6733503,2584.0,2348.0,2731.0,3435.0,220.13,93.08,34.39,279.17,68.43,232.03,115.57,107.8,118.0,2.0,125.3,113.5,63.328537,9.893556,26.777905,80.31358,19.68642,66.752014,33.247986,31.764742,34.77031,36.921356,33.444324,0.0,3.0,100.0,0.9560894030064384,FALSE,FALSE,steam,76561198049806548,23,Octane,1.4,110.0,100.0,-5.0,270.0,0.4,8.0,1.6
62ec11c4da9d7ca1c7bb30ae,blue,6020c1cdf1e4807cc7025d03,North America,5f3d8fdd95f40596eae240b2,Comm,7,4,2,1,805,57.14285714285714,460.0,467.17188,53.81,2692.0,267.0,2182.0,125.0,510.0,142.0,26.0,2.0,45.0,13.0,333.0,78.0,475.0,29.53,8.5411005,38.53,11.144213,101.43,69.84,78.49,95.49,29.378714,20.22882,22.734253,27.65822,1472.0,494978.0,49.38,130.4,182.91,210.84,114.75,37.1,07.09,70.0,0.1,64.0,50.4315,35.953568,13.614933,58.13229,31.63859,10.22912,3150.0,3237.0,3071.0,3984.0,168.37,128.22,66.11,240.86,121.83,270.73,91.97,128.3,106.7,2.0,111.8,110.8,46.421284,18.227184,35.35153,66.40933,33.590668,74.64296,25.357044,37.10881,30.861341,32.336437,32.047203,1.0,1.0,100.0,2.5683485935912436,TRUE,TRUE,steam,76561198349297431,23,Octane,1.3,110.0,100.0,-3.0,270.0,0.45,3.2,1.0
62ec11c4da9d7ca1c7bb30ae,blue,6020c1cdf1e4807cc7025d03,North America,5f3d8fdd95f40596eae241b8,BeastMode,4,1,2,3,571,25.0,485.0,454.1563,51.13,2617.0,737.0,2008.0,607.0,609.0,130.0,24.0,7.0,57.0,12.0,410.0,92.0,495.0,32.32,9.348065,30.83,8.917106,105.22,81.33,61.42,89.68,31.162447,24.087072,18.190434,26.560047,1634.0,552072.0,74.18,144.04,144.68,190.09,133.06,39.74,7.68,70.0,0.11,71.04348,39.867733,39.691376,20.440895,52.382267,36.66676,10.950978,2709.0,2359.0,3142.0,3957.0,166.12,104.11,92.66,226.6,136.29,276.73,86.16,104.6,125.6,0.0,146.4,95.3,45.776955,25.533907,28.689133,62.44316,37.55683,76.25727,23.742731,30.253948,36.327877,42.343956,27.564066,1.0,1.0,80.0,1.9805516613396856,FALSE,TRUE,steam,76561198284393407,23,Octane,1.3,109.0,90.0,-4.0,270.0,0.45,7.0,1.0
62ec11c4da9d7ca1c7bb30ae,blue,6020c1cdf1e4807cc7025d03,North America,5f3d8fdd95f40596eae23d72,Torment,3,0,0,1,136,0.0,388.0,439.40533,52.51,2532.0,405.0,1736.0,100.0,796.0,305.0,22.0,1.0,66.0,20.0,529.0,9.0,275.0,44.83,12.966392,33.51,9.692254,133.47,57.42,66.99,93.36,37.99966,16.347797,19.07243,26.580116,1572.0,529675.0,54.42,154.26,157.44,213.18,129.79,23.15,7.79,85.0,0.09,68.347824,43.002296,42.133724,14.863979,58.226818,35.450127,6.323064,3344.0,3405.0,3327.0,4012.0,159.43,130.52,76.17,232.51,133.61,276.73,89.39,113.5,106.8,0.0,80.9,139.9,43.54583,20.804655,35.649513,63.5065,36.4935,75.58451,24.415493,32.828136,30.890265,23.399086,40.463932,0.0,0.0,20.0,0.5302871431269827,FALSE,TRUE,steam,76561198097285289,23,Octane,1.4,110.0,100.0,-5.0,270.0,0.4,5.5,1.2
62ec11c4da9d7ca1c7bb30ae,orange,60bb483e6d9c1362119ca7cd,Sub-Saharan Africa,60bb4abf6d9c1362119ca7d3,Darth.,1,1,2,1,409,100.0,364.0,363.0474,41.57,2092.0,293.0,1418.0,161.0,674.0,132.0,16.0,2.0,57.0,11.0,182.0,38.0,147.0,59.16,17.111124,22.36,6.4672875,159.21,85.65,40.18,61.19,45.983887,24.73789,11.605002,17.673222,1482.0,496509.0,42.06,136.28,183.06,199.46,137.95,23.99,7.78,85.0,0.09,64.434784,50.653015,37.70891,11.638074,55.190926,38.171,6.6380744,3254.0,3265.0,3228.0,3742.0,181.99,123.69,55.72,253.34,108.06,250.04,111.36,125.2,118.1,2.0,97.5,146.8,50.35694,15.417819,34.22523,70.09962,29.900389,69.1865,30.813503,36.212185,34.15862,28.200382,42.459652,1.0,1.0,100.0,1.7035238434441848,FALSE,FALSE,steam,76561198401040166,4284,Fennec,1.7,109.0,90.0,-5.0,260.0,0.4,5.0,1.3
