color,team_region,player_tag,core_shots,core_goals,core_saves,core_assists,core_score,core_shooting_percentage,positioning_avg_distance_to_ball,demo_inflicted,demo_taken,winner,car_name
blue,North America,BeastMode,8,2,0,1,486,25.0,2468.0,2.0,0.0,TRUE,Octane
blue,North America,Comm,5,1,0,2,430,20.0,3216.0,4.0,1.0,TRUE,Octane
blue,North America,Torment,4,1,1,0,363,25.0,2979.0,0.0,1.0,TRUE,Octane
orange,Sub-Saharan Africa,Darth.,1,0,5,1,519,0.0,3075.0,1.0,0.0,FALSE,Fennec
orange,Sub-Saharan Africa,Snowyy,0,0,3,0,274,0.0,2560.0,1.0,3.0,FALSE,Fennec
orange,Sub-Saharan Africa,SkillSteal,2,1,0,0,266,50.0,2584.0,0.0,3.0,FALSE,Octane
blue,North America,Comm,7,4,2,1,805,57.14285714285714,3150.0,1.0,1.0,TRUE,Octane
blue,North America,BeastMode,4,1,2,3,571,25.0,2709.0,1.0,1.0,TRUE,Octane
blue,North America,Torment,3,0,0,1,136,0.0,3344.0,0.0,0.0,TRUE,Octane
orange,Sub-Saharan Africa,Darth.,1,1,2,1,409,100.0,3254.0,1.0,1.0,FALSE,Fennec
orange,Sub-Saharan Africa,SkillSteal,5,1,1,1,349,20.0,2599.0,1.0,1.0,FALSE,Octane
orange,Sub-Saharan Africa,Snowyy,0,0,2,0,253,0.0,2760.0,0.0,0.0,FALSE,Fennec
blue,North America,BeastMode,5,2,0,2,598,40.0,2932.0,0.0,2.0,TRUE,Octane
blue,North America,Torment,4,2,1,1,459,50.0,3044.0,1.0,1.0,TRUE,Octane
blue,North America,Comm,4,1,1,1,310,25.0,3171.0,2.0,0.0,TRUE,Octane
orange,Sub-Saharan Africa,Darth.,0,0,2,0,239,0.0,3029.0,0.0,2.0,FALSE,Fennec
orange,Sub-Saharan Africa,Snowyy,1,0,1,0,162,0.0,2779.0,1.0,1.0,FALSE,Fennec
orange,Sub-Saharan Africa,SkillSteal,1,0,0,0,84,0.0,2916.0,2.0,0.0,FALSE,Octane
blue,North America,Comm,5,1,1,2,508,20.0,2884.0,3.0,1.0,TRUE,Octane
blue,North America,BeastMode,3,1,1,1,370,33.33333333333333,2985.0,1.0,2.0,TRUE,Octane
blue,North America,Torment,3,1,0,0,224,33.33333333333333,3177.0,1.0,3.0,TRUE,Octane
orange,Sub-Saharan Africa,Snowyy,2,0,3,0,417,0.0,2575.0,2.0,1.0,FALSE,Fennec
orange,Sub-Saharan Africa,SkillSteal,0,1,3,0,381,0.0,2740.0,3.0,3.0,FALSE,Fennec
orange,Sub-Saharan Africa,Darth.,1,0,1,1,212,0.0,2969.0,1.0,1.0,FALSE,Fennec
blue,Oceania,CJCJ,5,4,0,0,663,80.0,2813.0,0.0,0.0,TRUE,Fennec
blue,Oceania,Kamii,2,0,2,2,320,0.0,3242.0,1.0,1.0,TRUE,Fennec
blue,Oceania,Fever,4,0,0,1,184,0.0,2975.0,3.0,1.0,TRUE,Fennec
orange,Sub-Saharan Africa,Daisy,1,0,2,0,325,0.0,2338.0,2.0,2.0,FALSE,Fennec
orange,Sub-Saharan Africa,Happymeal,1,0,2,0,306,0.0,2744.0,0.0,1.0,FALSE,Fennec
orange,Sub-Saharan Africa,2Die4,0,0,2,0,198,0.0,2717.0,0.0,1.0,FALSE,Octane
blue,Oceania,Fever,6,2,2,1,687,33.33333333333333,2681.0,1.0,0.0,TRUE,Fennec
blue,Oceania,Kamii,1,0,1,1,269,0.0,2934.0,2.0,0.0,TRUE,Fennec
blue,Oceania,CJCJ,2,1,0,0,196,50.0,3441.0,1.0,2.0,TRUE,Fennec
orange,Sub-Saharan Africa,2Die4,0,0,4,0,372,0.0,2550.0,1.0,2.0,FALSE,Octane
orange,Sub-Saharan Africa,Daisy,2,0,1,0,178,0.0,2585.0,1.0,1.0,FALSE,Fennec
orange,Sub-Saharan Africa,Happymeal,3,0,0,0,174,0.0,3146.0,0.0,1.0,FALSE,Fennec
blue,Oceania,Fever,5,3,1,0,535,60.0,2736.0,0.0,0.0,TRUE,Fennec
blue,Oceania,Kamii,2,0,2,1,367,0.0,3123.0,2.0,3.0,TRUE,Fennec
